Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
RIOBA SPECULOOS 6GX300,671881,1,59068,"MEAT_SPECIAL_HANDLING-8-4-A3-1,MEAT_SPECIAL_HANDLING-11-8-C1-3",7,7,24,24,0,0,-17,-17
FLOCON AVOINE COMPLET BIO*900G,892970,1,304826,MEAT_SPECIAL_HANDLING-11-14-A3-3,14,14,31,31,0,0,-17,-17
HEINEKEN PACK 5D 20X25CL VP,397027,1,201729,"MEAT_SPECIAL_HANDLING-2-11-A1-2,MEAT_SPECIAL_HANDLING-4-1-C1-3",10,10,26,26,0,0,-16,-16
MC 120 CORNET GLACE 63X170MM,893517,1,305413,"MEAT_SPECIAL_HANDLING-12-6-B1-1,MEAT_SPECIAL_HANDLING-7-15-C1-2,INSPECTION-1",23,23,39,39,0,0,-16,-16
SAL FDC RGE MC PC8 C1 FRFRANCE,30605,1,30605,"MEAT_SPECIAL_HANDLING-30-13-A1-2,IN-1,MEAT_SPECIAL_HANDLING-32-8-B1-2",10,80,12,96,0,0,-2,-16
FROM TARTINER NATURE 1KG MC,675282,1,24978,"MEAT_SPECIAL_HANDLING-20-13-A1-2,IN-1",47,47,63,63,0,0,-16,-16
ARO OREIL. PECHE SIROP LG 5/1,177737,1,180965,"MEAT_SPECIAL_HANDLING-11-13-C1-2,MEAT_SPECIAL_HANDLING-9-10-A4-5,MEAT_SPECIAL_HANDLING-11-13-A1-2",16,16,32,32,0,0,-16,-16
BRIE 60% 3KG ENV MC,687429,1,71260,MEAT_SPECIAL_HANDLING-23-21-A1-2,172.98,172.98,188.72,188.72,0,0,-15.740000000000009,-15.740000000000009
FX FILET 5/6KG VBF S/P,383413,1,188363,"MEAT_SPECIAL_HANDLING-25-11-A2-1,MEAT_SPECIAL_HANDLING-26-2-A1-7,MEAT_SPECIAL_HANDLING-23-4-B1-1",57.61,57.61,73.21,73.21,0,0,-15.599999999999994,-15.599999999999994
"STNECTLAIT AOP PAIL 1,8KGENMDF",145018,1,145483,MEAT_SPECIAL_HANDLING-22-13-A1-2,89.79,89.79,104.96,104.96,0,0,-15.169999999999987,-15.169999999999987
CHOCO COUV EXCEL55%PIST SCH5KG,174189,1,177220,"MEAT_SPECIAL_HANDLING-5-17-A1-2,MEAT_SPECIAL_HANDLING-7-27-B1-3",32,32,47,47,0,0,-15,-15
FOURME AMBERT AOP 3KG ENV CPV,829366,1,235438,"UNLOADING-1,MEAT_SPECIAL_HANDLING-25-3-A2-1",25.52,25.52,40.39,40.39,0,0,-14.870000000000001,-14.870000000000001
FILET RTK UE,688772,1,29370,MEAT_SPECIAL_HANDLING-25-7-A3-6,65.23,65.23,79.7,79.7,0,0,-14.469999999999999,-14.469999999999999
OEUF POCHE SS VIDE X16,829839,1,236324,"MEAT_SPECIAL_HANDLING-25-8-B1-2,MEAT_SPECIAL_HANDLING-23-9-A1-3,UNLOADING-1",161,161,175,175,0,0,-14,-14
CASSONADE 100% PURE CANNE 5KG,840896,1,247887,MEAT_SPECIAL_HANDLING-6-29-A1-1,52,52,65,65,0,0,-13,-13
SH RD 15%MG VBF 150GX8 S/AT,154175,1,155185,"UNLOADING-1,MEAT_SPECIAL_HANDLING-22-14-A1-1",17,17,30,30,0,0,-13,-13
"BRIQUE BREBIS 2,2KG ENV MC",885824,1,296568,MEAT_SPECIAL_HANDLING-25-3-A4-8,48.35,48.35,60.62,60.62,0,0,-12.269999999999996,-12.269999999999996
1/8 GORGON AOP BARUFFALDI,839939,1,247365,"MEAT_SPECIAL_HANDLING-23-3-A1-1,MEAT_SPECIAL_HANDLING-21-19-B1-1,UNLOADING-1",187.08,187.08,199.23,199.23,0,0,-12.149999999999977,-12.149999999999977
PERONI NASTRO AZZURRO 5D 33CL,883740,1,294659,"MEAT_SPECIAL_HANDLING-4-9-A3-1,MEAT_SPECIAL_HANDLING-4-9-B1-2",10,120,11,132,0,0,-1,-12
IGP OC RGE BRUME SALINE 75CL,866287,1,275345,MEAT_SPECIAL_HANDLING-9-35-A1-1,0,0,2,12,0,0,-2,-12
HOVE ILIADA PDO KALAMATA 1L,223885,1,23887,MEAT_SPECIAL_HANDLING-10-11-A4-5,12,12,24,24,0,0,-12,-12
ROCH POIS CHICHE 4/4,835338,1,241500,MEAT_SPECIAL_HANDLING-11-23-B1-2,13,78,15,90,0,0,-2,-12
ITA BLC BORGOBRUNO 75CL,836608,1,243277,"MEAT_SPECIAL_HANDLING-8-18-A2-4,MEAT_SPECIAL_HANDLING-8-21-A2-2",12,72,14,84,0,0,-2,-12
BURGER BRIOCHE 6X77G MC,900800,1,300224,"MEAT_SPECIAL_HANDLING-20-6-B1-2,MEAT_SPECIAL_HANDLING-24-21-A1-2,MEAT_SPECIAL_HANDLING-22-18-A1-4",260,260,272,272,0,0,-12,-12
ORATOIRE CHAS.SPL MOUL 75CL,891411,1,302566,MEAT_SPECIAL_HANDLING-8-35-A2-5,0,0,2,12,0,0,-2,-12
