Article Name;Article number (MGB);Var;Locations;MMS Stock;MMS Stock (1 piece);WMS Stock;WMS Stock (1 piece);Pick qty;Pick qty (1 piece);Difference;Difference (1 piece)
METRO CHEF TOPPING CARAMEL 1KG;176473;1;MEAT_SPECIAL_HANDLING-10-26-A1-3;19;19;31;31;0;0;-12;-12
ROCAMADOUR AOP LC 35G MDF;829690;1;MEAT_SPECIAL_HANDLING-26-19-A3-5;5;60;6;72;0;0;-1;-12
50 BTE SALADE CARTON NR 1300ML;867048;1;MEAT_SPECIAL_HANDLING-12-14-B1-2,MEAT_SPECIAL_HANDLING-12-11-B1-2,UNLOADING-1,MEAT_SPECIAL_HANDLING-12-14-C1-3;87;87;99;99;0;0;-12;-12
MELON  CV 750/975  MAROC  C1 MAROC;58626;1;MEAT_SPECIAL_HANDLING-31-10-A1-3;0;0;12;12;0;0;-12;-12
MC ARTICH QUART BOCAL 1700ML;860535;1;MEAT_SPECIAL_HANDLING-11-12-A3-1,MEAT_SPECIAL_HANDLING-9-4-A3-4,MEAT_SPECIAL_HANDLING-12-2-A4-5,UNLOADING-1;119;119;131;131;0;0;-12;-12
COLONA MAYO SQ GM 830G;839890;1;MEAT_SPECIAL_HANDLING-7-27-A3-2,MEAT_SPECIAL_HANDLING-7-29-A1-1;40;40;52;52;0;0;-12;-12
CH VIGNOL RSE BD*75CL AOP;807365;1;MEAT_SPECIAL_HANDLING-8-24-A4-2,MEAT_SPECIAL_HANDLING-8-3-A4-2;1;6;3;18;0;0;-2;-12
EPAULE PORCELET S/V UE;820597;1;MEAT_SPECIAL_HANDLING-25-5-A3-7,UNLOADING-1;10.83;10.83;22.14;22.14;0;0;-11.31;-11.31
SAL JP EXQUIS MC 1K UEUE;762767;1;null;-11;-11;0;0;0;0;-11;-11
MINI CARAMBAR FRUITS 1KG;258058;1;MEAT_SPECIAL_HANDLING-10-33-A3-5;25;25;36;36;0;0;-11;-11
POIREAU BOTTE 1K PC10 C1 FRFRANCE;93412;1;MEAT_SPECIAL_HANDLING-32-9-A1-4,MEAT_SPECIAL_HANDLING-32-9-A4-4;40;40;51;51;0;0;-11;-11
HARICOT MUNGO BIO*SOJA 1KG FR;853848;1;IN-1,MEAT_SPECIAL_HANDLING-26-20-A3-4;41;41;52;52;0;0;-11;-11
EPAULE PORC S/OS 4D S/V;165670;1;MEAT_SPECIAL_HANDLING-24-16-A3-1;4.97;4.97;15.34;15.34;0;0;-10.370000000000001;-10.370000000000001
SOURIS AGNEAU A/OS S/V NZ;820497;1;MEAT_SPECIAL_HANDLING-20-17-A1-4;-8.46;-8.46;1.84;1.84;0;0;-10.3;-10.3
SAUTE CANARD S/OS A/P SV 2.5KG;148957;1;MEAT_SPECIAL_HANDLING-26-1-A3-1;58.28;58.28;68.46;68.46;0;0;-10.179999999999993;-10.179999999999993
CABILLAUD SKREI 4/6 X20 P/ANE MSC.GADUS MORHUA;706264;1;FISH-54-8-A1-2,CROSS_DOCKING-MEAT_SPECIAL_HANDLING-1;11.85;11.85;22;22;0;0;-10.15;-10.15
GLACE ARTISANALE FRAISE 2.5L;142857;1;DEEP_FROZEN-43-15-A1-4,DEEP_FROZEN-43-3-A2-5,UNLOADING-1;12;12;22;22;0;0;-10;-10
EMMENTAL FR RAPE 1KG MC;848007;1;MEAT_SPECIAL_HANDLING-26-19-B1-4,MEAT_SPECIAL_HANDLING-24-1-A1-2;181;181;191;191;0;0;-10;-10
AIGUILETTE PLT GRAINES HALA 1K;868013;1;DEEP_FROZEN-40-6-B1-1,UNLOADING-1,DEEP_FROZEN-42-3-A1-2;322;322;332;332;0;0;-10;-10
MPRO 500 PAILLE NOIR D6 20CM;888247;1;MEAT_SPECIAL_HANDLING-7-29-A2-1,MEAT_SPECIAL_HANDLING-7-8-C1-3;30;30;40;40;0;0;-10;-10
BADOIT 50CL X6 PET;396676;1;MEAT_SPECIAL_HANDLING-3-10-C1-3,MEAT_SPECIAL_HANDLING-2-20-A1-3,MEAT_SPECIAL_HANDLING-1-9-C1-2,MEAT_SPECIAL_HANDLING-3-17-B1-1,MEAT_SPECIAL_HANDLING-3-13-B1-2,MEAT_SPECIAL_HANDLING-3-13-C1-1,MEAT_SPECIAL_HANDLING-1-21-B1-2,MEAT_SPECIAL_HANDLING-1-33-B1-2;349;1745;351;1755;0;0;-2;-10
