Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
"POM.FRITES 9/9 2,5KG MC",396988,1,201696,DEEP_FROZEN-41-6-A1-3,34,136,29,116,0,0,5,20
50 POT A GLACE KRAFT 18CL,847879,1,254902,MEAT_SPECIAL_HANDLING-6-14-A1-5,38,38,18,18,0,0,20,20
ESTRAGON BOTTE MC 30G X5,703800,1,703800,MEAT_SPECIAL_HANDLING-33-11-A4-2,26,130,20,100,2,10,4,20
BONBONS REGALAD VRAC 2KG KREMA,840358,1,247457,MEAT_SPECIAL_HANDLING-9-26-A1-1,31,31,11,11,0,0,20,20
DORITOS NACHO CHEESE 160G,892161,1,303913,MEAT_SPECIAL_HANDLING-11-8-A4-4,6,60,4,40,0,0,2,20
100 BTE PIZZA KRAFT BRUN 29X29,394392,1,200016,MEAT_SPECIAL_HANDLING-6-5-A3-1,22,22,1,1,0,0,21,21
ROCH RIZ BASMATI 500G,835214,1,242232,MEAT_SPECIAL_HANDLING-11-1-A3-5,8,56,5,35,0,0,3,21
CONSIGNE FUT 30L PLEIN,226681,1,null,null,21,21,0,0,0,0,21,21
POITRINE PARE N1 S/OS S/V VPF,658241,1,null,null,21.19,21.19,0,0,0,0,21.19,21.19
EMINCE FLT PLT ROTI HALAL 1KG,819214,1,225700,"DEEP_FROZEN-40-10-B1-3,DEEP_FROZEN-40-10-B1-2,DEEP_FROZEN-41-2-B1-1,DEEP_FROZEN-40-1-B1-3",1121,1121,1066,1066,33,33,22,22
SAL COEUR ROMAINE PC2 BQ8 C1 ESESPAGNE,89906,1,89906,"MEAT_SPECIAL_HANDLING-31-6-A1-2,MEAT_SPECIAL_HANDLING-32-7-A1-1",44,44,22,22,0,0,22,22
100 BTE PIZZA KRAFT BRUN 31X31,394404,1,null,null,22,22,0,0,0,0,22,22
50 SAC PAPIER KRAFT 22X11X28,822156,1,228590,MEAT_SPECIAL_HANDLING-7-23-A2-4,49,49,16,16,10,10,23,23
THOR 30L FUT   PLEIN (CONSIGNE,226830,1,null,null,23,23,0,0,0,0,23,23
CARAIBOS GOYAVE BOITE 33CL,387952,1,192943,MEAT_SPECIAL_HANDLING-5-29-A1-4,10,240,9,216,0,0,1,24
CIF PISTOL ANTIBACTERIEN 750ML,669072,1,104201,MEAT_SPECIAL_HANDLING-6-5-A1-5,48,48,24,24,0,0,24,24
