Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
CARRE FILET DOUBLE AGN S/V UK,290658,1,96178,MEAT_SPECIAL_HANDLING-26-2-A2-7,0,0,23.48,23.48,0,0,-23.48,-23.48
TARTARE VBF 5%MG 180GX1 S/AT,854664,1,null,null,-23,-23,0,0,0,0,-23,-23
MC AMANDE BRUTE 23/25 1KG,889451,1,300706,"MEAT_SPECIAL_HANDLING-10-35-A3-1,MEAT_SPECIAL_HANDLING-10-28-C1-2",48,48,71,71,0,0,-23,-23
BADOIT 50CL X6 PET,396676,1,203142,"MEAT_SPECIAL_HANDLING-3-17-B1-1,MEAT_SPECIAL_HANDLING-3-13-C1-1,MEAT_SPECIAL_HANDLING-1-33-B1-2,MEAT_SPECIAL_HANDLING-3-29-A1-2,MEAT_SPECIAL_HANDLING-3-10-C1-3,MEAT_SPECIAL_HANDLING-3-29-C1-1,MEAT_SPECIAL_HANDLING-1-21-B1-2,MEAT_SPECIAL_HANDLING-3-13-B1-2,MEAT_SPECIAL_HANDLING-1-3-C1-1,MEAT_SPECIAL_HANDLING-1-9-C1-2,MEAT_SPECIAL_HANDLING-4-8-C1-1",411,2055,415,2075,0,0,-4,-20
MPRO FOURCHET BOIS 16 CM,893243,1,305116,"MEAT_SPECIAL_HANDLING-6-25-C1-1,MEAT_SPECIAL_HANDLING-7-23-A2-5",795,795,815,815,0,0,-20,-20
PREPA CREM BRULEE 1L PRESIDENT,207277,1,7279,MEAT_SPECIAL_HANDLING-25-22-A1-1,310,310,330,330,0,0,-20,-20
JOUE PORC SEMI PARE S/V UE,673974,1,10798,MEAT_SPECIAL_HANDLING-20-14-A1-4,17.7,17.7,36.76,36.76,0,0,-19.06,-19.06
ONGLET S/P S/V UE,215396,1,15398,MEAT_SPECIAL_HANDLING-24-14-A4-4,2.06,2.06,20.48,20.48,0,0,-18.42,-18.42
ABATILLE GAZ 50CL  PET,396843,1,285940,"MEAT_SPECIAL_HANDLING-4-4-C1-1,MEAT_SPECIAL_HANDLING-3-19-A1-2",439,2634,442,2652,0,0,-3,-18
SUCRE PDR ETUI BV 1KG ROCHAMB,839757,1,247304,MEAT_SPECIAL_HANDLING-10-29-C1-2,33,198,36,216,0,0,-3,-18
ANJOU BLC LOG BRAY 75CL,808761,1,214362,MEAT_SPECIAL_HANDLING-8-33-A4-2,0,0,3,18,0,0,-3,-18
ARO ABC ANANAS BRICK 1L,839411,1,246860,MEAT_SPECIAL_HANDLING-4-11-A4-3,-1,-6,2,12,0,0,-3,-18
SC CARAMEL LAIT 1KG SWEETIES,682351,1,100213,MEAT_SPECIAL_HANDLING-10-32-A3-2,31,31,49,49,0,0,-18,-18
